route_id,route_no,route_type,n_stops,length_km,detour
USB195000146,213,일반버스,43,21.91,2.24
USB195000147,213(농소 출발),일반버스,36,18.14,1.86
USB195000148,213(들꽃학습원 출발),일반버스,39,18.07,1.94
USB195000149,215,일반버스,51,24.02,1.59
USB195000150,215,일반버스,52,24.03,1.61
USB195000151,216,일반버스,38,22.02,1.6
USB195000152,216((용연한국가스공사 경유)농소 출발),일반버스,48,30.28,1.68
USB195000153,216((용연한국가스공사 경유)용연 출발),일반버스,46,30.16,1.63
USB195000154,216(농소 출발),일반버스,37,21.82,1.65
USB195000155,216(변전소 출발),일반버스,36,21.86,1.6
USB195000156,217,일반버스,63,27.03,2.37
USB195000157,217,일반버스,59,26.63,2.34
USB195000158,219,일반버스,37,21.48,1.79
USB195000159,219(농소 출발),일반버스,37,21.48,1.79
USB195000160,219(공업탑 출발),일반버스,38,22.36,1.74
USB195000161,225,일반버스,49,23.83,1.49
USB195000162,225,일반버스,54,23.87,1.56
USB195000163,226,일반버스,51,22.89,1.86
USB195000164,226(장생포(모듈화산업단지 경유)),일반버스,56,26.76,2.17
USB195000165,226(모듈화단지 경유),일반버스,57,25.83,2.15
USB195000166,226(농소 출발),일반버스,49,21.68,1.76
USB195000167,226(장생포 출발),일반버스,51,21.5,1.79
USB195000168,236,일반버스,60,25.71,2.09
USB195000169,246,일반버스,57,27.59,1.68
USB195000170,246(농소차고지 출발),일반버스,56,27.09,1.65
USB195000171,246(황암마을 출발),일반버스,58,28.12,1.78
USB195000175,712,일반버스,38,20.41,1.94
USB195000176,712,일반버스,37,20.47,1.91
USB195000177,713,일반버스,56,24.14,1.57
USB195000178,713,일반버스,48,22.59,1.48
USB195000179,714,일반버스,40,23.12,1.37
USB195000180,714,일반버스,38,23.12,1.27
USB195000181,"714(와지 종료, 출발)",일반버스,49,26.85,1.28
USB195000182,"714(와지 종료, 출발)",일반버스,47,26.83,1.27
USB195000183,715,일반버스,64,29.94,1.61
USB195000184,715,일반버스,65,29.95,1.57
USB195000185,718,일반버스,29,12.08,2.16
USB195000186,718,일반버스,31,12.57,2.19
USB195000190,722,일반버스,78,36.28,2.16
USB195000191,722,일반버스,80,36.81,2.08
USB195000192,723,일반버스,44,21.69,1.63
USB195000193,723,일반버스,45,21.58,1.64
USB195000194,723(내사 경유),일반버스,45,21.88,1.68
USB195000195,723(내사 경유),일반버스,46,21.78,1.61
USB195000196,724,일반버스,50,26.85,1.59
USB195000197,724,일반버스,49,27.06,1.6
USB195000198,725,일반버스,61,29.98,2.03
USB195000199,725,일반버스,61,29.94,2.26
USB195000200,725(온산공단 경유),일반버스,73,38.24,2.48
USB195000201,725(온산공단 경유),일반버스,74,38.05,2.33
USB195000202,725(덕신 미경유),일반버스,27,12.2,1.29
USB195000203,728,일반버스,47,21.0,3.03
USB195000204,728(명촌 출발),일반버스,30,13.48,2.08
USB195000205,728(골드클래스 출발),일반버스,30,13.45,1.94
USB195000206,732,일반버스,59,25.16,2.2
USB195000207,732,일반버스,57,24.99,2.24
USB195000208,734,일반버스,45,23.9,1.88
USB195000209,734,일반버스,46,24.6,1.98
USB195000210,735,일반버스,76,39.15,1.6
USB195000211,735,일반버스,75,39.17,1.58
USB195000212,742,일반버스,70,35.02,1.6
USB195000213,742,일반버스,66,34.84,1.59
USB195000214,742(북구청 출발),일반버스,45,23.77,1.45
USB195000215,743,일반버스,47,22.53,1.46
USB195000216,743,일반버스,49,22.38,1.48
USB195000217,744,일반버스,55,31.73,1.63
USB195000218,744,일반버스,55,31.77,1.73
USB195000219,752,일반버스,49,20.85,1.71
USB195000220,752(매곡산업단지 경유),일반버스,49,20.85,1.71
USB195000221,753,일반버스,53,26.14,1.7
USB195000222,753,일반버스,54,25.89,1.69
USB195000223,754,일반버스,49,26.32,1.75
USB195000224,754,일반버스,52,26.35,1.88
USB195000225,762,일반버스,50,24.26,1.52
USB195000226,762,일반버스,48,24.06,1.5
USB195000227,763,일반버스,75,35.56,1.55
USB195000228,763(명촌 출발),일반버스,75,35.55,1.55
USB195000229,763(봉계 출발),일반버스,73,35.77,1.49
USB195000230,772,일반버스,60,30.86,1.9
USB195000231,772,일반버스,61,31.04,1.96
USB195000232,772(달곡당수나무 경유),일반버스,63,31.96,1.97
USB195000233,772(달곡당수나무 경유),일반버스,64,32.23,2.03
USB195000238,773,일반버스,32,16.4,1.48
USB195000239,773(명촌 출발),일반버스,31,16.17,1.86
USB195000240,773(우미린 출발),일반버스,33,16.33,1.49
USB195000241,1154,좌석버스,44,42.94,1.12
USB195000242,1154,좌석버스,43,42.82,1.17
USB195000243,1214,좌석버스,36,52.52,1.6
USB195000244,1214,좌석버스,35,52.44,1.2
USB195000247,1224,좌석버스,26,47.89,1.1
USB195000248,1224,좌석버스,26,47.77,1.1
USB195000249,1715,좌석버스,35,37.77,1.47
USB195000250,1715,좌석버스,35,37.63,1.46
USB195000474,북구11((농소 종료)북울산역 출발),지선버스,10,3.48,1.8
USB195000485,236(농소 출발),일반버스,58,24.5,1.99
USB195000490,713(삼호교 출발),일반버스,17,9.4,1.26
USB195000492,북구13,지선버스,27,14.85,1.53
USB195000493,"북구13(옥천암,달곡마을경유)",지선버스,26,12.91,1.3
USB195000494,북구13(달곡마을경유 북구청남문방면),지선버스,27,14.85,1.53
USB195000495,북구13(달곡마을 경유(대안입구방면)),지선버스,23,12.82,1.29
USB195000496,"북구13(스포츠과학중고, 옥천암 경유)",지선버스,26,14.01,1.41
USB195000497,북구13(스포츠과학중고 경유),지선버스,27,14.41,1.51
USB195000498,북구13(대안입구 출발),지선버스,25,13.42,1.35
USB195000499,북구13(북구청남문 출발),지선버스,24,13.31,1.39
USB195000500,북구13(대안입구(옥천암경유)),지선버스,23,12.82,1.29
USB195000527,711,일반버스,54,27.09,2.18
USB195000528,711,일반버스,51,26.68,2.14
USB195000569,226(장생포(울산항 경유)),일반버스,49,24.22,1.97
USB195000671,721,일반버스,55,26.52,2.27
USB195000672,721,일반버스,57,25.97,2.38
USB195000673,741,일반버스,58,27.22,2.31
USB195000674,741,일반버스,58,26.64,2.42
USB195000713,1234,좌석버스,21,54.53,1.2
USB195000714,1234,좌석버스,20,54.3,1.17
USB195900252,순환11,일반버스,19,10.8,1.86
USB195900253,순환12,일반버스,27,12.03,1.78
USB195900254,순환21,일반버스,26,10.22,1.93
USB195900255,순환22,일반버스,22,10.07,2.07
USB195900695,자율A1,좌석버스,37,18.67,2.01
USB195900696,자율A1,좌석버스,37,18.61,1.72
USB196000256,울주01,지선버스,9,6.97,1.67
USB196000257,울주02,지선버스,41,29.11,2.03
USB196000258,울주02,지선버스,40,29.16,1.98
USB196000259,"울주02(한솔그린빌 종료, 출발)",지선버스,15,11.7,1.59
USB196000260,"울주02(한솔그린빌 종료, 출발)",지선버스,12,11.72,1.47
USB196000261,울주03,지선버스,13,6.84,1.85
USB196000262,울주03((자수정 경유)작천정 출발),지선버스,17,9.44,2.34
USB196000266,울주04,지선버스,41,13.69,2.19
USB196000267,울주04((경의고 경유)상북면주민센터),지선버스,42,12.77,2.17
USB196000268,울주04(중남초 출발),지선버스,41,13.69,2.19
USB196000269,울주04(후평마을 출발),지선버스,43,15.28,2.94
USB196000270,울주05,지선버스,25,10.75,1.3
USB196000271,울주05(덕하공영차고지(수문마을 경유)),지선버스,24,11.43,1.39
USB196000272,울주05(무거중 출발),지선버스,25,10.75,1.3
USB196000273,울주05(무거한라 출발),지선버스,29,12.38,1.25
USB196000274,울주05(율리 출발),지선버스,24,12.06,1.5
USB196000275,울주05(덕하 출발),지선버스,26,10.96,1.32
USB196000276,울주06,지선버스,14,7.29,1.44
USB196000277,울주06((남창고 경유)망양 출발),지선버스,3,4.38,1.1
USB196000279,울주07,지선버스,23,9.9,1.47
USB196000280,울주07(청송사(오전)),지선버스,8,2.78,1.36
USB196000281,울주07(청송사(오후)),지선버스,8,2.7,1.32
USB196000282,울주08,지선버스,54,27.19,3.36
USB196000283,울주08(덕하 출발),지선버스,39,20.17,2.49
USB196000284,울주08(무궁화아파트 출발),지선버스,37,19.84,2.53
USB196000285,울주09,지선버스,14,4.57,1.71
USB196000286,울주09(천상중학교(울주경찰서 방면)),지선버스,16,7.14,3.86
USB196000287,울주10,지선버스,28,11.38,1.84
USB196000288,울주10,지선버스,28,11.43,1.93
USB196000289,울주10(간절곶특산품매장(정크아트 경유)),지선버스,29,14.19,2.27
USB196000290,울주10(간절곶특산품매장(정크아트 경유)),지선버스,29,14.22,2.28
USB196000291,울주11,지선버스,25,11.22,1.66
USB196000292,울주11,지선버스,24,11.01,1.8
USB196000293,울주51,마을버스,15,5.9,1.73
USB196000294,울주51,마을버스,15,5.94,1.49
USB196000295,울주51(내고산 경유),마을버스,6,3.35,1.42
USB196000296,울주51(내고산 경유),마을버스,5,2.28,1.03
USB196000297,울주51(하나로마트 경유),마을버스,19,7.26,2.31
USB196000298,울주51(하나로마트 경유),마을버스,19,7.29,1.63
USB196000299,울주51(동백아파트 경유),마을버스,13,6.86,2.23
USB196000300,울주51(동백아파트 경유),마을버스,8,4.68,1.4
USB196000301,울주51(동백아파트 경유(순환)),마을버스,13,5.48,1.78
USB196000302,울주52,마을버스,33,13.6,2.23
USB196000303,울주52,마을버스,31,12.92,2.11
USB196000304,울주52(무궁화아파트 경유),마을버스,36,14.79,2.31
USB196000305,울주52(온남초 지원),마을버스,34,14.39,2.47
USB196000306,울주52(진하 경유),마을버스,34,16.6,2.97
USB196000307,울주53,마을버스,18,6.62,1.94
USB196000308,"울주53(온산중, 온남초 경유)",마을버스,30,10.02,2.19
USB196000309,울주54,마을버스,21,7.51,1.86
USB196000310,울주61,마을버스,19,3.57,1.57
USB196000311,울주61(상방마을(이손요양병원 미경유)),마을버스,16,3.19,1.41
USB196000312,울주61(하북면 출발(이손요양병원 미경유)),마을버스,16,3.19,1.41
USB196000313,울주61(상방마을 출발(이손요양병원 미경유)),마을버스,15,2.92,1.23
USB196000314,울주62,마을버스,21,7.62,1.23
USB196000315,울주62(은하 경유),마을버스,21,7.62,1.23
USB196000316,울주62(반계 경유),마을버스,21,9.12,1.47
USB196000317,울주62(웅상방면  와지공단 경유),마을버스,22,9.12,1.5
USB196000318,울주62(신암방면 와지공단 경유),마을버스,21,7.62,1.23
USB196000319,울주63,마을버스,16,7.73,2.29
USB196000320,"울주63(은하,덕산 경유)",마을버스,16,7.73,2.29
USB196000321,울주81,마을버스,16,7.95,1.29
USB196000322,울주81(남창역 출발),마을버스,33,17.95,2.67
USB196000324,울주82,마을버스,33,16.09,1.6
USB196000325,울주82,마을버스,33,16.21,1.61
USB196000326,울주84,마을버스,27,20.15,2.1
USB196000327,울주84,마을버스,26,20.02,2.09
USB196000328,울주85,마을버스,27,27.77,1.98
USB196000329,울주85,마을버스,27,27.89,2.08
USB196000330,울주85((두서면 종료)유촌 출발),마을버스,22,17.14,3.48
USB196000331,울주85(서울산보람병원 경유),마을버스,28,28.88,2.19
USB196000332,울주85(서울산보람병원 경유),마을버스,31,29.3,2.15
USB196000333,울주86,마을버스,16,14.3,3.08
USB196000334,울주86,마을버스,17,14.45,1.87
USB196000335,울주88,마을버스,23,13.51,1.56
USB196000336,울주88(다개),마을버스,20,12.96,1.5
USB196000337,울주88(구량 출발),마을버스,27,15.49,1.77
USB196000338,313,일반버스,44,23.13,1.13
USB196000339,313,일반버스,42,22.84,1.13
USB196000340,313(내와 경유),일반버스,68,40.21,1.96
USB196000341,313(반천산업단지 경유),일반버스,49,30.93,1.54
USB196000342,313(반천산업단지 경유),일반버스,48,30.8,1.53
USB196000343,"313(반천산업단지, 내와 경유)",일반버스,74,48.15,2.34
USB196000344,323,일반버스,46,22.57,1.89
USB196000345,323(삼동면 출발),일반버스,35,17.22,2.01
USB196000346,323((정거리)구언양버스터미널 출발),일반버스,57,28.09,2.21
USB196000347,323(동부주공아파트 출발),일반버스,38,17.87,2.11
USB196000348,"323(구언양순환, 출발)",일반버스,13,5.67,1.28
USB196000349,333,일반버스,46,21.97,1.4
USB196000350,333(삼남신화 출발),일반버스,52,24.36,1.55
USB196000351,333(은편삼거리 출발),일반버스,43,21.11,1.65
USB196000352,343,일반버스,24,11.12,1.89
USB196000353,343(삼남 출발),일반버스,24,11.12,1.89
USB196000354,343(복합웰컴센터 출발),일반버스,23,11.18,1.75
USB196000355,353,일반버스,43,24.64,2.1
USB196000356,353,일반버스,43,24.57,2.0
USB196000357,"353(구언양버스터미널 종료, 출발)",일반버스,37,22.7,2.08
USB196000358,"353(구언양버스터미널 종료, 출발)",일반버스,38,22.72,1.95
USB196000359,"353(석남사 종료, 출발)",일반버스,13,11.06,1.17
USB196000360,"353(석남사 종료, 출발)",일반버스,14,11.06,1.02
USB196000361,353(길천공단 경유(울산역 방면)),일반버스,45,24.78,1.98
USB196000362,353(길천공단 경유(태봉마을 방면)),일반버스,45,24.91,2.1
USB196000364,363,일반버스,67,32.71,1.7
USB196000365,363,일반버스,62,32.41,1.68
USB196000366,363(와리 미경유),일반버스,40,21.23,1.45
USB196000367,363(와리 미경유),일반버스,61,32.23,1.63
USB196000368,373,일반버스,16,5.88,2.33
USB196000369,383,일반버스,21,8.25,2.25
USB196000370,383((대곡박물관 경유)삼남 출발),일반버스,42,18.61,1.95
USB196000371,383((대곡박물관 경유)대곡 출발),일반버스,40,18.58,2.35
USB196000372,383(축산회관 경유(삼남 방면)),일반버스,21,8.25,2.25
USB196000373,383(축산회관 경유(양우내안에 방면)),일반버스,21,9.04,2.46
USB196000374,412,일반버스,44,19.76,1.41
USB196000375,412(금감펜테리움2차(모듈화단지경유)),일반버스,50,22.07,1.58
USB196000376,412(모듈화단지 경유),일반버스,55,23.22,1.78
USB196000377,412(율리 출발),일반버스,47,20.33,1.45
USB196000378,412(금강펜테리움2차 출발),일반버스,49,20.55,1.57
USB196000379,413,일반버스,75,35.31,1.62
USB196000380,413(율리 출발),일반버스,74,35.3,1.62
USB196000381,413(석남사 출발),일반버스,73,34.35,1.56
USB196000382,414,일반버스,47,26.15,1.18
USB196000383,415,일반버스,72,38.21,1.98
USB196000384,415,일반버스,73,37.75,1.92
USB196000385,416,일반버스,47,20.64,1.62
USB196000386,416(율리 출발),일반버스,41,18.13,1.42
USB196000387,416(장생포 출발),일반버스,41,17.99,1.41
USB196000388,417,일반버스,35,16.39,1.54
USB196000389,417,일반버스,33,15.94,1.61
USB196000390,418,일반버스,25,11.7,1.38
USB196000391,418(율리 출발),일반버스,25,11.69,1.38
USB196000392,418(성안 출발),일반버스,28,12.25,1.5
USB196000393,422,일반버스,41,18.17,1.34
USB196000394,422(율리 출발),일반버스,41,18.16,1.34
USB196000395,422(농소 출발),일반버스,41,18.49,1.37
USB196000396,423,일반버스,41,27.59,1.63
USB196000397,423,일반버스,40,27.53,1.61
USB196000398,428,일반버스,39,18.35,1.97
USB196000399,428(율리 출발),일반버스,39,18.34,1.97
USB196000400,428(성안 출발),일반버스,40,18.47,1.88
USB196000401,432,일반버스,60,28.22,1.6
USB196000402,432(율리 출발),일반버스,60,28.22,1.6
USB196000403,432(부영 출발),일반버스,61,28.1,1.68
USB196000404,438,일반버스,31,14.08,1.33
USB196000405,438(율리 출발),일반버스,30,14.06,1.33
USB196000406,438(골드클래스 출발),일반버스,31,13.82,1.38
USB196000407,442,일반버스,38,16.47,1.51
USB196000408,442(율리 출발),일반버스,34,15.1,1.43
USB196000409,442(평창리비에르3차 출발),일반버스,36,15.45,1.53
USB196000410,452,일반버스,64,28.78,2.02
USB196000411,452(율리 출발),일반버스,58,26.57,1.86
USB196000412,452(달천 출발),일반버스,56,26.27,1.83
USB196000413,462,일반버스,65,28.78,1.72
USB196000414,462,일반버스,67,28.89,1.85
USB196000415,462(매곡산업단지단 경유),일반버스,64,29.03,1.73
USB196000416,472,일반버스,50,25.1,1.86
USB196000417,472,일반버스,50,25.22,1.87
USB196000418,482,일반버스,50,22.95,1.65
USB196000419,482(율리 출발),일반버스,49,22.93,1.77
USB196000420,482(농소 출발),일반버스,50,23.06,1.65
USB196000421,513,일반버스,79,36.1,1.83
USB196000422,513,일반버스,83,37.08,1.87
USB196000423,514,일반버스,42,20.03,2.05
USB196000424,514(덕하 출발),일반버스,43,20.45,2.09
USB196000425,514(장검중학교 출발),일반버스,44,20.79,2.02
USB196000426,515,일반버스,64,31.54,1.81
USB196000427,515,일반버스,64,31.29,1.81
USB196000428,518,일반버스,47,25.66,1.88
USB196000429,518(청량교 출발(덕하방면 온산공단 경유)),일반버스,22,10.27,1.2
USB196000430,518(옥교동(온산공단 경유)),일반버스,60,33.17,2.05
USB196000431,518(옥교동(성남동 방면 온산공단 경유)),일반버스,60,33.17,2.05
USB196000432,518(옥교동(덕하 방면 온산공단 경유)),일반버스,47,25.66,1.88
USB196000433,518(덕하 출발),일반버스,47,25.66,1.88
USB196000434,523,일반버스,69,33.68,1.48
USB196000435,523,일반버스,67,33.38,1.55
USB196000436,533,일반버스,47,22.43,1.24
USB196000437,533,일반버스,48,22.35,1.27
USB196000438,533(내사 경유),일반버스,48,22.61,1.27
USB196000439,543,일반버스,76,35.17,1.78
USB196000440,543(덕하 출발),일반버스,75,35.11,1.77
USB196000441,543(양우내안애 출발),일반버스,75,34.3,1.7
USB196000442,1411,좌석버스,45,29.24,1.71
USB196000443,1411,좌석버스,44,28.54,1.62
USB196000444,1421,좌석버스,35,24.3,1.44
USB196000445,1432,좌석버스,27,27.79,1.52
USB196000446,1432,좌석버스,27,27.64,1.61
USB196000447,1452,좌석버스,33,38.41,2.33
USB196000448,1452,좌석버스,34,38.52,2.19
USB196000449,1462,좌석버스,26,29.78,1.85
USB196000450,1462,좌석버스,26,29.67,1.84
USB196000455,5001,공항버스,12,30.15,1.16
USB196000456,5001,공항버스,12,30.24,1.44
USB196000457,5002,공항버스,17,36.66,1.37
USB196000458,5002,공항버스,17,37.02,1.38
USB196000459,5003,공항버스,14,33.41,1.15
USB196000460,5003,공항버스,15,33.42,1.81
USB196000461,5004,공항버스,15,34.77,1.7
USB196000462,5004,공항버스,14,34.22,1.73
USB196000463,5005,공항버스,21,31.33,1.49
USB196000464,5005,공항버스,21,31.4,2.46
USB196000479,1713,좌석버스,44,32.78,1.1
USB196000480,1713,좌석버스,42,32.83,1.14
USB196000481,1723,좌석버스,42,32.36,1.33
USB196000482,1723,좌석버스,41,32.28,1.31
USB196000483,1733,좌석버스,21,24.9,1.19
USB196000484,1733,좌석버스,21,24.78,1.21
